subject,block,trial,mu1,mu2,choice,reward,RT,higher_mean,chose_higher,mean_diff_abs,mean_diff_abs_cut,previous_choice,repeat_choice,switch_choice
1,1,1,-1,-2,1,0,1655,1,TRUE,1,< 5,NA,0,1
1,1,2,-1,-2,2,-4,652,1,FALSE,1,< 5,1,0,1
1,1,3,-1,-2,1,-1,479,1,TRUE,1,< 5,2,0,1
1,1,4,-1,-2,1,-2,839,1,TRUE,1,< 5,1,1,0
1,1,5,-1,-2,2,-1,424,1,FALSE,1,< 5,1,0,1
1,1,6,-1,-2,1,0,426,1,TRUE,1,< 5,2,0,1
1,1,7,-1,-2,1,-3,407,1,TRUE,1,< 5,1,1,0
1,1,8,-1,-2,2,-1,686,1,FALSE,1,< 5,1,0,1
1,1,9,-1,-2,1,-1,391,1,TRUE,1,< 5,2,0,1
1,1,10,-1,-2,1,-1,350,1,TRUE,1,< 5,1,1,0
1,2,1,0,-10,1,0,670,1,TRUE,10,5 - 10,NA,0,1
1,2,2,0,-10,2,-8,375,1,FALSE,10,5 - 10,1,0,1
1,2,3,0,-10,1,-2,367,1,TRUE,10,5 - 10,2,0,1
1,2,4,0,-10,1,0,415,1,TRUE,10,5 - 10,1,1,0
1,2,5,0,-10,1,0,407,1,TRUE,10,5 - 10,1,1,0
1,2,6,0,-10,1,-1,368,1,TRUE,10,5 - 10,1,1,0
1,2,7,0,-10,2,-11,471,1,FALSE,10,5 - 10,1,0,1
1,2,8,0,-10,1,1,335,1,TRUE,10,5 - 10,2,0,1
1,2,9,0,-10,1,0,351,1,TRUE,10,5 - 10,1,1,0
1,2,10,0,-10,2,-10,367,1,FALSE,10,5 - 10,1,0,1
1,3,1,-5,3,1,-5,530,2,FALSE,8,5 - 10,NA,0,1
1,3,2,-5,3,2,2,302,2,TRUE,8,5 - 10,1,0,1
1,3,3,-5,3,2,2,375,2,TRUE,8,5 - 10,2,1,0
1,3,4,-5,3,2,3,360,2,TRUE,8,5 - 10,2,1,0
1,3,5,-5,3,2,2,319,2,TRUE,8,5 - 10,2,1,0
1,3,6,-5,3,2,1,335,2,TRUE,8,5 - 10,2,1,0
1,3,7,-5,3,2,2,385,2,TRUE,8,5 - 10,2,1,0
1,3,8,-5,3,2,4,350,2,TRUE,8,5 - 10,2,1,0
1,3,9,-5,3,2,3,367,2,TRUE,8,5 - 10,2,1,0
1,3,10,-5,3,2,4,391,2,TRUE,8,5 - 10,2,1,0
1,4,1,-2,1,2,1,683,2,TRUE,3,< 5,NA,0,1
1,4,2,-2,1,2,3,319,2,TRUE,3,< 5,2,1,0
1,4,3,-2,1,1,-2,502,2,FALSE,3,< 5,2,0,1
1,4,4,-2,1,2,3,543,2,TRUE,3,< 5,1,0,1
1,4,5,-2,1,2,1,327,2,TRUE,3,< 5,2,1,0
1,4,6,-2,1,2,1,342,2,TRUE,3,< 5,2,1,0
1,4,7,-2,1,2,0,342,2,TRUE,3,< 5,2,1,0
1,4,8,-2,1,2,1,383,2,TRUE,3,< 5,2,1,0
1,4,9,-2,1,2,2,424,2,TRUE,3,< 5,2,1,0
1,4,10,-2,1,2,1,390,2,TRUE,3,< 5,2,1,0
1,5,1,-2,-11,2,-11,504,1,FALSE,9,5 - 10,NA,0,1
1,5,2,-2,-11,1,-2,415,1,TRUE,9,5 - 10,2,0,1
1,5,3,-2,-11,1,-3,596,1,TRUE,9,5 - 10,1,1,0
1,5,4,-2,-11,1,-2,485,1,TRUE,9,5 - 10,1,1,0
