cond,id,id2,seed,trial,deck,payoff,rt,block,age,gender,trend,volatility,previous_deck,repeat_deck,switch_deck,run_nr,run_length
ntn,1,21,1,1,1,-72,1908.4545,1,19,male,Trend,Variance Stable,NA,0,1,1,1
ntn,1,21,1,2,2,0,3733.9498,1,19,male,Trend,Variance Stable,1,0,1,2,1
ntn,1,21,1,3,3,0,3162.7877,1,19,male,Trend,Variance Stable,2,0,1,3,1
ntn,1,21,1,4,4,50,3027.3895,1,19,male,Trend,Variance Stable,3,0,1,4,1
ntn,1,21,1,5,4,40,2418.0934,1,19,male,Trend,Variance Stable,4,1,0,4,2
ntn,1,21,1,6,4,46,2138.9691,1,19,male,Trend,Variance Stable,4,1,0,4,3
ntn,1,21,1,7,4,60,2715.2424,1,19,male,Trend,Variance Stable,4,1,0,4,4
ntn,1,21,1,8,4,55,1955.074,1,19,male,Trend,Variance Stable,4,1,0,4,5
ntn,1,21,1,9,4,64,2171.1971,1,19,male,Trend,Variance Stable,4,1,0,4,6
ntn,1,21,1,10,4,69,3611.2225,1,19,male,Trend,Variance Stable,4,1,0,4,7
ntn,1,21,1,11,4,70,1987.1135,1,19,male,Trend,Variance Stable,4,1,0,4,8
ntn,1,21,1,12,1,-56,1859.2503,1,19,male,Trend,Variance Stable,4,0,1,5,1
ntn,1,21,1,13,4,66,1891.0475,1,19,male,Trend,Variance Stable,1,0,1,6,1
ntn,1,21,1,14,4,57,1603.0827,1,19,male,Trend,Variance Stable,4,1,0,6,2
ntn,1,21,1,15,4,54,1923.0725,1,19,male,Trend,Variance Stable,4,1,0,6,3
ntn,1,21,1,16,3,2,1513.7181,1,19,male,Trend,Variance Stable,4,0,1,7,1
ntn,1,21,1,17,4,51,1900.9343,1,19,male,Trend,Variance Stable,3,0,1,8,1
ntn,1,21,1,18,2,7,2298.9816,1,19,male,Trend,Variance Stable,4,0,1,9,1
ntn,1,21,1,19,4,49,1874.9763,1,19,male,Trend,Variance Stable,2,0,1,10,1
ntn,1,21,1,20,4,42,2018.9972,1,19,male,Trend,Variance Stable,4,1,0,10,2
ntn,1,21,1,21,4,61,1779.1722,1,19,male,Trend,Variance Stable,4,1,0,10,3
ntn,1,21,1,22,4,65,2043.2386,1,19,male,Trend,Variance Stable,4,1,0,10,4
ntn,1,21,1,23,4,52,1891.2319,1,19,male,Trend,Variance Stable,4,1,0,10,5
ntn,1,21,1,24,4,60,2195.1432,1,19,male,Trend,Variance Stable,4,1,0,10,6
ntn,1,21,1,25,4,48,2019.1008,1,19,male,Trend,Variance Stable,4,1,0,10,7
ntn,1,21,1,26,4,48,1867.1369,2,19,male,Trend,Variance Stable,4,1,0,10,8
ntn,1,21,1,27,4,46,1867.0887,2,19,male,Trend,Variance Stable,4,1,0,10,9
ntn,1,21,1,28,4,30,1819.1515,2,19,male,Trend,Variance Stable,4,1,0,10,10
ntn,1,21,1,29,4,34,1907.2154,2,19,male,Trend,Variance Stable,4,1,0,10,11
ntn,1,21,1,30,4,39,1931.2963,2,19,male,Trend,Variance Stable,4,1,0,10,12
ntn,1,21,1,31,3,-8,1723.2728,2,19,male,Trend,Variance Stable,4,0,1,11,1
ntn,1,21,1,32,2,22,1954.3874,2,19,male,Trend,Variance Stable,3,0,1,12,1
ntn,1,21,1,33,2,18,1851.1211,2,19,male,Trend,Variance Stable,2,1,0,12,2
ntn,1,21,1,34,2,16,1770.9922,2,19,male,Trend,Variance Stable,2,1,0,12,3
ntn,1,21,1,35,2,19,1715.208,2,19,male,Trend,Variance Stable,2,1,0,12,4
ntn,1,21,1,36,4,34,1571.3229,2,19,male,Trend,Variance Stable,2,0,1,13,1
ntn,1,21,1,37,4,29,1947.0632,2,19,male,Trend,Variance Stable,4,1,0,13,2
ntn,1,21,1,38,4,24,1835.1281,2,19,male,Trend,Variance Stable,4,1,0,13,3
ntn,1,21,1,39,4,25,1595.2361,2,19,male,Trend,Variance Stable,4,1,0,13,4
ntn,1,21,1,40,4,25,1699.2194,2,19,male,Trend,Variance Stable,4,1,0,13,5
ntn,1,21,1,41,2,10,1803.2328,2,19,male,Trend,Variance Stable,4,0,1,14,1
ntn,1,21,1,42,4,17,2467.2077,2,19,male,Trend,Variance Stable,2,0,1,15,1
ntn,1,21,1,43,1,-36,1890.8906,2,19,male,Trend,Variance Stable,4,0,1,16,1
ntn,1,21,1,44,4,16,2067.0221,2,19,male,Trend,Variance Stable,1,0,1,17,1
ntn,1,21,1,45,3,-43,1931.0695,2,19,male,Trend,Variance Stable,4,0,1,18,1
ntn,1,21,1,46,2,8,1963.209,2,19,male,Trend,Variance Stable,3,0,1,19,1
ntn,1,21,1,47,4,9,1771.2763,2,19,male,Trend,Variance Stable,2,0,1,20,1
ntn,1,21,1,48,4,17,1691.2119,2,19,male,Trend,Variance Stable,4,1,0,20,2
ntn,1,21,1,49,4,13,1606.1921,2,19,male,Trend,Variance Stable,4,1,0,20,3
ntn,1,21,1,50,4,15,1731.1448,2,19,male,Trend,Variance Stable,4,1,0,20,4
